siena,1_2,1,start
siena,1_2,1,prune.includes,-sampler-include-method=-siena.AttributeConstraint--int-hashCode--- -sampler-include-method=-siena.AttributeValue--double-doubleValue--- -sampler-include-method=-siena.AttributeValue--void--init--siena.AttributeValue-- -sampler-include-method=-siena.ByteBuf--byte[]-bytes--- -sampler-include-method=-siena.ByteBuf--void-append-byte-- -sampler-include-method=-siena.ByteBuf--void-append-byte[]-- -sampler-include-method=-siena.Filter--void-addConstraint-java.lang.String,siena.AttributeConstraint-- -sampler-include-method=-siena.HierarchicalDispatcher--void--init---- -sampler-include-method=-siena.HierarchicalDispatcher--void-disconnectMaster--- -sampler-include-method=-siena.HierarchicalDispatcher--void-setMaster-java.lang.String-- -sampler-include-method=-siena.OpTest--void-main-java.lang.String[]-- -sampler-include-method=-siena.PacketHandlerFactory--siena.PacketHandler-getHandler-java.lang.String-- -sampler-include-method=-siena.Poset--boolean-empty--- -sampler-include-method=-siena.SENP--boolean-match-byte[],byte[]-- -sampler-include-method=-siena.SENP--siena.AttributeConstraint-readAttributeConstraint-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.AttributeValue-readAttribute-siena.Tokenizer-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeConstraint-- -sampler-include-method=-siena.SENP--siena.ByteBuf-encode-siena.ByteBuf,siena.AttributeValue-- -sampler-include-method=-siena.SENP--siena.SENPPacket-decode-byte[]-- -sampler-include-method=-siena.SienaId--java.lang.String-getId--- -sampler-include-method=-siena.TCPPacketHandler--void--init--java.lang.String-- -sampler-include-method=-siena.Tokenizer--boolean-isCurrentFirstIdentChar--- -sampler-include-method=-siena.Tokenizer--double-read_decimal--- -sampler-include-method=-siena.Tokenizer--int-currByte--- -sampler-include-method=-siena.Tokenizer--int-nextByte--- -sampler-include-method=-siena.Tokenizer--int-nextToken--- -sampler-include-method=-siena.Tokenizer--int-read_id--- -sampler-include-method=-siena.Tokenizer--int-read_int--- -sampler-include-method=-siena.Tokenizer--int-read_number---
siena,1_2,1,prune.preprocess.size,159240
siena,1_2,1,prune.preprocess.time,686
siena,1_2,1,prune.preprocess.number,55 
siena,1_2,1,prune.preprocess.time_p,557.0
siena,1_2,1,prune.mine.size,5808
siena,1_2,1,prune.mine.time,1210
siena,1_2,1,boost.profile.time,2564876
siena,1_2,1,boost.profile.size,982
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/boost/output.sites
siena,1_2,1,boost.profile.number,1076
siena,1_2,1,prune.profile.time,2564335
siena,1_2,1,prune.profile.size,2967
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/prune/output.sites
siena,1_2,1,prune.profile.number,3930
siena,1_2,1,prune-minus-boost.profile.time,2564528
siena,1_2,1,prune-minus-boost.profile.size,2156
# /home/sunzzq2/Data/IResearch/Automated_Bug_Isolation/Twopass_heavy/Subjects/siena/versions/v1/subv2/prune-minus-boost/output.sites
siena,1_2,1,prune-minus-boost.profile.number,2854
siena,1_2,1,end
